Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6216,0.5702,0.6842,0.619,0.65,0.2405,0.2419
0.6389,0.6296,0.8333,0.6,0.6977,0.2778,0.3015
0.6111,0.6502,0.6316,0.6316,0.6316,0.2198,0.2198
0.6111,0.5418,0.7368,0.6087,0.6667,0.21,0.2156
0.5556,0.5511,0.4737,0.6,0.5294,0.1193,0.1223
0.5278,0.517,0.5789,0.55,0.5641,0.0497,0.0498
0.5556,0.4954,0.5789,0.5789,0.5789,0.1084,0.1084
0.5833,0.5697,0.6316,0.6,0.6154,0.1615,0.1617
0.5,0.5046,0.4737,0.5294,0.5,0.0031,0.0031
0.5833,0.6068,0.6316,0.6,0.6154,0.1615,0.1617
0.5788,0.5636,0.6254,0.5918,0.6049,0.1551,0.1586
0.0418,0.0497,0.1047,0.0295,0.0587,0.082,0.0862
